surface,router,name,proposedPermission,kind,procedure,authority,module,level,roles,branch,sensitivity,sensitivityWhy,flags,loc
"trpc","storeAdminRouter","update","store.store_admin.update","mutation","storeGlobalAdminProcedure","module-gate","store","FULL","manager","required","MEDIUM","كتابة","LOCAL_GATE","server/routers/storeAdminRouter.ts:242"
"trpc","storeAdminRouter","update","store.store_admin.update","mutation","storeGlobalAdminProcedure","module-gate","store","FULL","manager","required","MEDIUM","كتابة","LOCAL_GATE","server/routers/storeAdminRouter.ts:272"
"trpc","storefrontRouter","banners","storefront.storefront.banners","query","publicProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/storefrontRouter.ts:65"
"trpc","storefrontRouter","cartRecommendations","storefront.storefront.cart_recommendations","query","storefrontPublicReadProcedure","public-read","storefront","READ","","none","LOW","قراءة","UNAUTHENTICATED","server/routers/storefrontRouter.ts:205"
"trpc","storefrontRouter","catalog","storefront.storefront.catalog","query","publicProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/storefrontRouter.ts:123"
"trpc","storefrontRouter","categories","storefront.storefront.categories","query","publicProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/storefrontRouter.ts:59"
"trpc","storefrontRouter","claimFirebaseCustomer","storefront.storefront.claim_firebase_customer","mutation","storefrontPublicWriteProcedure","public","storefront","WRITE","","none","MEDIUM","كتابة","","server/routers/storefrontRouter.ts:93"
"trpc","storefrontRouter","createCartShare","storefront.storefront.create","mutation","storefrontPublicWriteProcedure","public","storefront","WRITE","","none","HIGH","فعل حسّاس: share","SENSITIVE_ACTION","server/routers/storefrontRouter.ts:184"
"trpc","storefrontRouter","createOrder","storefront.storefront.create","mutation","publicProcedure","none","","","","none","MEDIUM","كتابة","WRITE_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/storefrontRouter.ts:243"
"trpc","storefrontRouter","createWishlistShare","storefront.storefront.create","mutation","storefrontPublicWriteProcedure","public","storefront","WRITE","","none","HIGH","فعل حسّاس: share","SENSITIVE_ACTION","server/routers/storefrontRouter.ts:174"
"trpc","storefrontRouter","customerBenefits","storefront.storefront.customer_benefits","query","storefrontPublicReadProcedure","public-read","storefront","READ","","none","LOW","قراءة","UNAUTHENTICATED","server/routers/storefrontRouter.ts:104"
"trpc","storefrontRouter","customerBenefitsPrivate","storefront.storefront.customer_benefits_private","mutation","storefrontPublicWriteProcedure","public","storefront","WRITE","","none","MEDIUM","كتابة","","server/routers/storefrontRouter.ts:118"
"trpc","storefrontRouter","getCartShare","storefront.storefront.view","query","storefrontPublicReadProcedure","public-read","storefront","READ","","none","LOW","قراءة","UNAUTHENTICATED","server/routers/storefrontRouter.ts:195"
"trpc","storefrontRouter","getWishlistShare","storefront.storefront.view","query","storefrontPublicReadProcedure","public-read","storefront","READ","","none","LOW","قراءة","UNAUTHENTICATED","server/routers/storefrontRouter.ts:179"
"trpc","storefrontRouter","labelSummary","storefront.storefront.print","query","labelSummaryProcedure","token","","","","token","LOW","قراءة","LOCAL_GATE","server/routers/storefrontRouter.ts:298"
"trpc","storefrontRouter","offers","storefront.storefront.offers","query","publicProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/storefrontRouter.ts:62"
"trpc","storefrontRouter","product","storefront.storefront.product","query","publicProcedure","none","","","","none","LOW","قراءة","READ_WITHOUT_MODULE_GATE|UNAUTHENTICATED","server/routers/storefrontRouter.ts:146"
"trpc","storefrontRouter","productReviews","storefront.storefront.product_reviews","query","storefrontPublicReadProcedure","public-read","storefront","READ","","none","LOW","قراءة","UNAUTHENTICATED","server/routers/storefrontRouter.ts:151"
"trpc","storefrontRouter","quoteOrder","storefront.storefront.quote_order","query","storefrontPublicReadProcedure","public-read","storefront","READ","","none","LOW","قراءة","UNAUTHENTICATED","server/routers/storefrontRouter.ts:210"
